scaffold	start	end	PPrD	PPrK	PPrGenomeD	PPrGenomeK	PangD	PangK	PangGenomeD	PangGenomeK	PfreD	PfreK	PfreGenomeD	PfreGenomeK	PlasD	PlasK	PlasGenomeD	PlasGenomeK	PnigD	PnigK	PnigGenomeD	PnigGenomeK	PtrD	PtrK	PtrGenomeD	PtrGenomeK	PtreD	PtreK	PtreGenomeD	PtreGenomeK	pbaD	pbaK	pbaGenomeD	pbaGenomeK	peuD	peuK	peuGenomeD	peuGenomeK	pilD	pilK	pilGenomeD	pilGenomeK	plauD	plauK	plauGenomeD	plauGenomeK	pteD	pteK	pteGenomeD	pteGenomeK
scaffold	110001	120000	106	210	32281	54575	23	23	9785	4423	6	8	1347	4181	15	6	8492	3568	10	5	8164	3163	52	57	11715	22554	67	23	21632	8765	43	65	10572	20614	105	191	30776	59847	171	5	52756	9350	29	3	8263	3595	80	83	21325	21986
scaffold	120001	130000	168	132	32281	54575	26	8	9785	4423	13	17	1347	4181	54	7	8492	3568	49	4	8164	3163	60	17	11715	22554	121	85	21632	8765	38	61	10572	20614	167	133	30776	59847	246	27	52756	9350	44	3	8263	3595	142	210	21325	21986
scaffold	130001	140000	68	263	32281	54575	17	1	9785	4423	0	2	1347	4181	14	4	8492	3568	11	3	8164	3163	12	30	11715	22554	46	36	21632	8765	12	20	10572	20614	66	239	30776	59847	115	18	52756	9350	7	3	8263	3595	47	59	21325	21986
scaffold	140001	150000	164	230	32281	54575	16	5	9785	4423	12	11	1347	4181	43	5	8492	3568	28	10	8164	3163	15	19	11715	22554	11	2	21632	8765	11	30	10572	20614	153	219	30776	59847	186	20	52756	9350	8	4	8263	3595	10	9	21325	21986
scaffold	150001	160000	238	206	32281	54575	60	7	9785	4423	10	14	1347	4181	86	9	8492	3568	98	24	8164	3163	103	71	11715	22554	44	7	21632	8765	153	126	10572	20614	223	201	30776	59847	324	30	52756	9350	27	4	8263	3595	61	48	21325	21986
scaffold	160001	170000	64	242	32281	54575	37	0	9785	4423	0	16	1347	4181	12	1	8492	3568	24	1	8164	3163	29	76	11715	22554	62	33	21632	8765	34	39	10572	20614	54	271	30776	59847	114	36	52756	9350	25	2	8263	3595	46	99	21325	21986
scaffold	170001	180000	107	234	32281	54575	37	11	9785	4423	3	4	1347	4181	42	5	8492	3568	27	4	8164	3163	28	84	11715	22554	99	23	21632	8765	32	59	10572	20614	102	250	30776	59847	177	39	52756	9350	29	10	8263	3595	91	68	21325	21986
scaffold	180001	190000	109	328	32281	54575	28	5	9785	4423	5	10	1347	4181	17	1	8492	3568	23	1	8164	3163	31	77	11715	22554	62	8	21632	8765	33	45	10572	20614	103	402	30776	59847	195	27	52756	9350	16	3	8263	3595	51	29	21325	21986
scaffold	190001	200000	90	147	32281	54575	40	17	9785	4423	7	16	1347	4181	32	3	8492	3568	32	3	8164	3163	37	67	11715	22554	75	32	21632	8765	33	51	10572	20614	96	188	30776	59847	142	41	52756	9350	33	5	8263	3595	63	83	21325	21986
scaffold	200001	210000	90	312	32281	54575	41	2	9785	4423	4	4	1347	4181	24	2	8492	3568	29	4	8164	3163	47	79	11715	22554	65	26	21632	8765	43	60	10572	20614	99	252	30776	59847	147	17	52756	9350	38	5	8263	3595	85	54	21325	21986
scaffold	210001	220000	157	121	32281	54575	45	7	9785	4423	6	21	1347	4181	34	7	8492	3568	25	2	8164	3163	109	94	11715	22554	103	25	21632	8765	86	42	10572	20614	122	113	30776	59847	251	25	52756	9350	37	4	8263	3595	97	37	21325	21986
scaffold	220001	230000	103	252	32281	54575	40	8	9785	4423	6	9	1347	4181	22	4	8492	3568	22	2	8164	3163	43	41	11715	22554	101	25	21632	8765	37	38	10572	20614	113	242	30776	59847	169	31	52756	9350	17	6	8263	3595	81	92	21325	21986
scaffold	230001	240000	68	159	32281	54575	25	9	9785	4423	6	4	1347	4181	13	4	8492	3568	18	2	8164	3163	26	42	11715	22554	42	15	21632	8765	18	34	10572	20614	55	153	30776	59847	132	41	52756	9350	17	1	8263	3595	63	15	21325	21986
scaffold	240001	250000	193	148	32281	54575	36	18	9785	4423	6	47	1347	4181	27	17	8492	3568	35	34	8164	3163	48	57	11715	22554	101	63	21632	8765	47	44	10572	20614	197	192	30776	59847	324	21	52756	9350	35	18	8263	3595	111	104	21325	21986
scaffold	250001	260000	138	167	32281	54575	38	242	9785	4423	5	260	1347	4181	31	208	8492	3568	44	194	8164	3163	47	330	11715	22554	86	245	21632	8765	47	313	10572	20614	127	177	30776	59847	243	26	52756	9350	40	240	8263	3595	90	306	21325	21986
scaffold	260001	270000	110	119	32281	54575	32	198	9785	4423	5	213	1347	4181	27	200	8492	3568	29	193	8164	3163	35	243	11715	22554	71	223	21632	8765	32	251	10572	20614	105	220	30776	59847	199	8	52756	9350	27	205	8263	3595	62	262	21325	21986
scaffold	270001	280000	121	195	32281	54575	84	28	9785	4423	0	31	1347	4181	87	22	8492	3568	44	17	8164	3163	76	104	11715	22554	102	22	21632	8765	81	89	10572	20614	115	165	30776	59847	201	12	52756	9350	53	20	8263	3595	99	78	21325	21986
scaffold	280001	290000	82	277	32281	54575	50	16	9785	4423	5	12	1347	4181	33	10	8492	3568	26	5	8164	3163	29	113	11715	22554	107	21	21632	8765	26	103	10572	20614	80	246	30776	59847	156	29	52756	9350	39	10	8263	3595	104	81	21325	21986
scaffold	290001	300000	122	163	32281	54575	71	5	9785	4423	6	21	1347	4181	70	10	8492	3568	46	9	8164	3163	106	77	11715	22554	180	15	21632	8765	97	95	10572	20614	120	160	30776	59847	228	17	52756	9350	63	5	8263	3595	167	77	21325	21986
scaffold	300001	310000	97	185	32281	54575	61	20	9785	4423	9	11	1347	4181	25	15	8492	3568	26	19	8164	3163	78	96	11715	22554	70	45	21632	8765	38	111	10572	20614	83	195	30776	59847	215	11	52756	9350	24	18	8263	3595	57	113	21325	21986
scaffold	310001	320000	87	239	32281	54575	31	2	9785	4423	1	5	1347	4181	17	6	8492	3568	24	13	8164	3163	46	38	11715	22554	74	23	21632	8765	45	41	10572	20614	94	252	30776	59847	140	26	52756	9350	16	4	8263	3595	84	37	21325	21986
scaffold	320001	330000	38	421	32281	54575	10	3	9785	4423	1	1	1347	4181	12	4	8492	3568	7	1	8164	3163	14	56	11715	22554	15	8	21632	8765	10	27	10572	20614	46	464	30776	59847	63	46	52756	9350	7	10	8263	3595	18	18	21325	21986
scaffold	330001	340000	63	281	32281	54575	13	9	9785	4423	2	11	1347	4181	11	11	8492	3568	8	2	8164	3163	18	183	11715	22554	29	44	21632	8765	15	169	10572	20614	68	268	30776	59847	112	34	52756	9350	15	14	8263	3595	30	113	21325	21986
scaffold	340001	350000	129	168	32281	54575	36	3	9785	4423	4	5	1347	4181	23	5	8492	3568	9	3	8164	3163	26	74	11715	22554	87	22	21632	8765	24	75	10572	20614	119	174	30776	59847	205	22	52756	9350	25	2	8263	3595	76	78	21325	21986
scaffold	350001	360000	117	198	32281	54575	56	9	9785	4423	13	11	1347	4181	40	9	8492	3568	45	4	8164	3163	34	93	11715	22554	64	33	21632	8765	29	99	10572	20614	123	194	30776	59847	204	51	52756	9350	46	3	8263	3595	82	95	21325	21986
scaffold	360001	370000	142	191	32281	54575	37	7	9785	4423	6	7	1347	4181	26	4	8492	3568	22	4	8164	3163	49	46	11715	22554	59	11	21632	8765	35	34	10572	20614	133	182	30776	59847	219	52	52756	9350	20	2	8263	3595	39	39	21325	21986
scaffold	370001	380000	99	191	32281	54575	33	5	9785	4423	5	11	1347	4181	13	2	8492	3568	35	7	8164	3163	52	55	11715	22554	44	25	21632	8765	35	39	10572	20614	99	228	30776	59847	137	36	52756	9350	13	2	8263	3595	44	51	21325	21986
scaffold	380001	390000	79	163	32281	54575	34	15	9785	4423	7	8	1347	4181	18	2	8492	3568	43	6	8164	3163	54	51	11715	22554	62	22	21632	8765	53	50	10572	20614	79	154	30776	59847	151	15	52756	9350	29	7	8263	3595	58	79	21325	21986
scaffold	390001	400000	70	113	32281	54575	30	11	9785	4423	0	0	1347	4181	8	6	8492	3568	19	3	8164	3163	52	24	11715	22554	32	12	21632	8765	47	39	10572	20614	52	120	30776	59847	99	28	52756	9350	3	5	8263	3595	36	24	21325	21986
scaffold	400001	410000	82	205	32281	54575	8	17	9785	4423	1	8	1347	4181	8	9	8492	3568	11	7	8164	3163	11	71	11715	22554	26	43	21632	8765	24	47	10572	20614	88	174	30776	59847	142	56	52756	9350	16	2	8263	3595	47	68	21325	21986
scaffold	410001	420000	99	220	32281	54575	29	4	9785	4423	2	6	1347	4181	13	14	8492	3568	41	5	8164	3163	27	55	11715	22554	50	49	21632	8765	18	57	10572	20614	85	214	30776	59847	170	28	52756	9350	14	3	8263	3595	51	97	21325	21986
scaffold	420001	430000	126	258	32281	54575	63	36	9785	4423	9	20	1347	4181	43	19	8492	3568	45	21	8164	3163	55	103	11715	22554	107	31	21632	8765	58	82	10572	20614	120	259	30776	59847	210	22	52756	9350	31	19	8263	3595	88	56	21325	21986
scaffold	430001	440000	121	171	32281	54575	46	100	9785	4423	10	67	1347	4181	39	75	8492	3568	41	71	8164	3163	55	145	11715	22554	139	109	21632	8765	52	160	10572	20614	117	187	30776	59847	210	22	52756	9350	53	77	8263	3595	92	227	21325	21986
scaffold	440001	450000	74	232	32281	54575	22	8	9785	4423	3	2	1347	4181	20	11	8492	3568	11	4	8164	3163	39	25	11715	22554	71	9	21632	8765	34	23	10572	20614	77	213	30776	59847	108	59	52756	9350	26	6	8263	3595	54	46	21325	21986
scaffold	450001	460000	125	174	32281	54575	52	8	9785	4423	3	9	1347	4181	29	7	8492	3568	42	6	8164	3163	88	64	11715	22554	115	23	21632	8765	85	60	10572	20614	122	174	30776	59847	228	29	52756	9350	62	10	8263	3595	73	135	21325	21986
scaffold	460001	470000	148	151	32281	54575	34	6	9785	4423	4	7	1347	4181	27	10	8492	3568	21	11	8164	3163	41	60	11715	22554	147	25	21632	8765	47	41	10572	20614	140	181	30776	59847	252	39	52756	9350	26	8	8263	3595	122	88	21325	21986
scaffold	470001	480000	66	264	32281	54575	17	1	9785	4423	5	3	1347	4181	8	6	8492	3568	14	2	8164	3163	24	39	11715	22554	21	5	21632	8765	23	23	10572	20614	63	333	30776	59847	94	60	52756	9350	13	5	8263	3595	34	28	21325	21986
scaffold	480001	490000	114	141	32281	54575	31	6	9785	4423	2	18	1347	4181	17	6	8492	3568	20	7	8164	3163	19	116	11715	22554	135	25	21632	8765	13	95	10572	20614	115	143	30776	59847	197	40	52756	9350	23	4	8263	3595	92	128	21325	21986
scaffold	490001	500000	107	203	32281	54575	44	20	9785	4423	6	28	1347	4181	34	8	8492	3568	39	23	8164	3163	33	115	11715	22554	111	25	21632	8765	27	150	10572	20614	104	215	30776	59847	205	12	52756	9350	44	12	8263	3595	99	97	21325	21986
scaffold	500001	510000	66	220	32281	54575	12	10	9785	4423	11	3	1347	4181	26	6	8492	3568	12	1	8164	3163	11	29	11715	22554	54	9	21632	8765	10	19	10572	20614	67	221	30776	59847	131	41	52756	9350	12	2	8263	3595	48	56	21325	21986
scaffold	510001	520000	102	309	32281	54575	22	5	9785	4423	8	5	1347	4181	31	10	8492	3568	18	7	8164	3163	32	76	11715	22554	128	18	21632	8765	27	86	10572	20614	88	333	30776	59847	171	36	52756	9350	35	15	8263	3595	93	97	21325	21986
scaffold	520001	530000	96	193	32281	54575	33	16	9785	4423	10	10	1347	4181	30	5	8492	3568	28	2	8164	3163	55	60	11715	22554	81	12	21632	8765	48	60	10572	20614	111	192	30776	59847	208	28	52756	9350	48	4	8263	3595	71	33	21325	21986
scaffold	530001	540000	134	211	32281	54575	24	6	9785	4423	3	26	1347	4181	23	4	8492	3568	26	2	8164	3163	54	46	11715	22554	102	57	21632	8765	50	53	10572	20614	141	216	30776	59847	204	17	52756	9350	28	5	8263	3595	90	133	21325	21986
scaffold	540001	550000	124	135	32281	54575	17	18	9785	4423	5	4	1347	4181	16	3	8492	3568	22	5	8164	3163	32	20	11715	22554	92	31	21632	8765	22	46	10572	20614	130	143	30776	59847	206	27	52756	9350	19	2	8263	3595	81	106	21325	21986
scaffold	550001	560000	56	78	32281	54575	9	5	9785	4423	1	2	1347	4181	11	0	8492	3568	9	7	8164	3163	6	39	11715	22554	38	24	21632	8765	4	27	10572	20614	45	109	30776	59847	86	115	52756	9350	10	2	8263	3595	27	63	21325	21986
scaffold	560001	570000	54	178	32281	54575	10	7	9785	4423	7	3	1347	4181	19	8	8492	3568	16	5	8164	3163	43	54	11715	22554	23	13	21632	8765	28	51	10572	20614	56	151	30776	59847	102	44	52756	9350	12	3	8263	3595	40	39	21325	21986
scaffold	570001	580000	94	163	32281	54575	20	17	9785	4423	8	10	1347	4181	38	2	8492	3568	15	6	8164	3163	30	70	11715	22554	55	20	21632	8765	30	59	10572	20614	83	190	30776	59847	160	58	52756	9350	16	14	8263	3595	57	87	21325	21986
scaffold	580001	590000	149	197	32281	54575	57	11	9785	4423	3	14	1347	4181	40	5	8492	3568	21	2	8164	3163	53	79	11715	22554	96	41	21632	8765	60	53	10572	20614	144	261	30776	59847	210	28	52756	9350	25	2	8263	3595	98	64	21325	21986
scaffold	590001	600000	104	176	32281	54575	11	7	9785	4423	2	7	1347	4181	20	4	8492	3568	9	11	8164	3163	36	62	11715	22554	70	12	21632	8765	38	29	10572	20614	106	230	30776	59847	160	21	52756	9350	11	7	8263	3595	92	23	21325	21986
scaffold	600001	610000	191	123	32281	54575	50	16	9785	4423	3	16	1347	4181	51	6	8492	3568	36	8	8164	3163	67	43	11715	22554	173	49	21632	8765	57	80	10572	20614	179	161	30776	59847	287	21	52756	9350	42	8	8263	3595	132	151	21325	21986
scaffold	610001	620000	81	305	32281	54575	16	2	9785	4423	2	2	1347	4181	5	1	8492	3568	6	1	8164	3163	21	21	11715	22554	26	6	21632	8765	18	12	10572	20614	60	274	30776	59847	99	34	52756	9350	9	0	8263	3595	28	6	21325	21986
scaffold	620001	630000	66	132	32281	54575	19	4	9785	4423	0	1	1347	4181	14	5	8492	3568	14	0	8164	3163	24	32	11715	22554	45	10	21632	8765	19	23	10572	20614	60	173	30776	59847	113	14	52756	9350	19	5	8263	3595	38	61	21325	21986
scaffold	630001	640000	176	177	32281	54575	53	13	9785	4423	4	9	1347	4181	31	14	8492	3568	38	3	8164	3163	49	73	11715	22554	114	36	21632	8765	46	74	10572	20614	182	187	30776	59847	264	14	52756	9350	38	8	8263	3595	93	92	21325	21986
scaffold	640001	650000	102	213	32281	54575	17	20	9785	4423	2	5	1347	4181	17	7	8492	3568	14	9	8164	3163	17	173	11715	22554	41	26	21632	8765	19	109	10572	20614	103	266	30776	59847	184	17	52756	9350	27	9	8263	3595	46	34	21325	21986
scaffold	650001	660000	89	341	32281	54575	10	11	9785	4423	0	7	1347	4181	6	2	8492	3568	8	3	8164	3163	22	64	11715	22554	44	18	21632	8765	20	43	10572	20614	84	240	30776	59847	141	21	52756	9350	21	2	8263	3595	55	38	21325	21986
scaffold	660001	670000	54	167	32281	54575	15	7	9785	4423	6	1	1347	4181	18	2	8492	3568	12	0	8164	3163	23	59	11715	22554	47	9	21632	8765	28	34	10572	20614	57	218	30776	59847	89	12	52756	9350	31	3	8263	3595	56	34	21325	21986
scaffold	670001	680000	74	219	32281	54575	27	4	9785	4423	1	7	1347	4181	20	5	8492	3568	18	1	8164	3163	37	51	11715	22554	46	31	21632	8765	32	25	10572	20614	98	224	30776	59847	152	35	52756	9350	23	4	8263	3595	37	29	21325	21986
scaffold	680001	690000	92	181	32281	54575	23	5	9785	4423	4	3	1347	4181	20	10	8492	3568	18	1	8164	3163	29	49	11715	22554	75	27	21632	8765	27	53	10572	20614	78	198	30776	59847	132	38	52756	9350	20	2	8263	3595	64	49	21325	21986
scaffold	690001	700000	114	123	32281	54575	62	17	9785	4423	2	10	1347	4181	47	6	8492	3568	50	3	8164	3163	57	101	11715	22554	98	36	21632	8765	57	92	10572	20614	116	140	30776	59847	199	11	52756	9350	35	9	8263	3595	93	159	21325	21986
scaffold	700001	710000	149	157	32281	54575	24	4	9785	4423	2	10	1347	4181	31	4	8492	3568	18	1	8164	3163	35	67	11715	22554	128	34	21632	8765	38	71	10572	20614	136	152	30776	59847	208	22	52756	9350	26	5	8263	3595	124	74	21325	21986
scaffold	710001	720000	140	165	32281	54575	18	11	9785	4423	12	5	1347	4181	22	3	8492	3568	14	4	8164	3163	21	83	11715	22554	96	22	21632	8765	21	82	10572	20614	130	167	30776	59847	205	31	52756	9350	29	6	8263	3595	127	31	21325	21986
scaffold	720001	730000	95	231	32281	54575	21	4	9785	4423	7	5	1347	4181	11	2	8492	3568	14	6	8164	3163	28	59	11715	22554	84	11	21632	8765	27	50	10572	20614	105	280	30776	59847	184	25	52756	9350	12	4	8263	3595	77	47	21325	21986
scaffold	730001	740000	112	228	32281	54575	33	10	9785	4423	2	9	1347	4181	25	3	8492	3568	36	3	8164	3163	50	49	11715	22554	94	11	21632	8765	46	41	10572	20614	112	220	30776	59847	211	41	52756	9350	45	8	8263	3595	83	62	21325	21986
scaffold	740001	750000	137	124	32281	54575	29	16	9785	4423	0	14	1347	4181	23	1	8492	3568	26	3	8164	3163	23	47	11715	22554	62	23	21632	8765	29	44	10572	20614	135	131	30776	59847	221	22	52756	9350	25	3	8263	3595	75	79	21325	21986
scaffold	750001	760000	81	156	32281	54575	8	14	9785	4423	2	17	1347	4181	15	4	8492	3568	21	1	8164	3163	14	51	11715	22554	43	63	21632	8765	9	31	10572	20614	89	134	30776	59847	128	38	52756	9350	16	7	8263	3595	45	113	21325	21986
scaffold	760001	770000	103	97	32281	54575	34	8	9785	4423	5	9	1347	4181	25	2	8492	3568	25	8	8164	3163	37	58	11715	22554	73	27	21632	8765	39	52	10572	20614	92	111	30776	59847	138	36	52756	9350	34	2	8263	3595	68	56	21325	21986
scaffold	770001	780000	64	123	32281	54575	18	5	9785	4423	4	1	1347	4181	25	9	8492	3568	21	0	8164	3163	16	69	11715	22554	70	29	21632	8765	13	58	10572	20614	68	142	30776	59847	148	23	52756	9350	19	5	8263	3595	63	89	21325	21986
scaffold	780001	790000	75	199	32281	54575	29	15	9785	4423	4	4	1347	4181	54	9	8492	3568	36	2	8164	3163	37	61	11715	22554	70	42	21632	8765	29	91	10572	20614	88	180	30776	59847	149	34	52756	9350	35	3	8263	3595	81	62	21325	21986
scaffold	790001	800000	74	234	32281	54575	17	18	9785	4423	5	13	1347	4181	25	2	8492	3568	20	3	8164	3163	16	67	11715	22554	45	16	21632	8765	16	61	10572	20614	77	201	30776	59847	112	30	52756	9350	20	16	8263	3595	82	26	21325	21986
scaffold	800001	810000	44	424	32281	54575	2	66	9785	4423	0	67	1347	4181	2	66	8492	3568	0	94	8164	3163	3	209	11715	22554	8	35	21632	8765	3	202	10572	20614	36	402	30776	59847	86	35	52756	9350	2	66	8263	3595	13	138	21325	21986
scaffold	810001	820000	128	151	32281	54575	34	8	9785	4423	7	13	1347	4181	56	17	8492	3568	51	7	8164	3163	48	59	11715	22554	95	43	21632	8765	45	48	10572	20614	120	152	30776	59847	219	18	52756	9350	65	12	8263	3595	106	93	21325	21986
scaffold	820001	830000	135	139	32281	54575	36	16	9785	4423	3	8	1347	4181	56	5	8492	3568	52	3	8164	3163	46	41	11715	22554	105	42	21632	8765	41	62	10572	20614	127	165	30776	59847	235	35	52756	9350	55	9	8263	3595	102	65	21325	21986
scaffold	830001	840000	107	151	32281	54575	43	18	9785	4423	2	32	1347	4181	32	3	8492	3568	43	4	8164	3163	60	103	11715	22554	87	42	21632	8765	51	88	10572	20614	120	179	30776	59847	219	29	52756	9350	44	2	8263	3595	74	98	21325	21986
scaffold	840001	850000	106	143	32281	54575	21	5	9785	4423	2	48	1347	4181	15	26	8492	3568	11	20	8164	3163	30	60	11715	22554	42	24	21632	8765	32	46	10572	20614	91	159	30776	59847	137	19	52756	9350	20	35	8263	3595	47	30	21325	21986
scaffold	850001	860000	46	523	32281	54575	38	10	9785	4423	3	5	1347	4181	23	5	8492	3568	19	9	8164	3163	34	20	11715	22554	36	11	21632	8765	37	8	10572	20614	49	558	30776	59847	71	51	52756	9350	27	3	8263	3595	39	22	21325	21986
scaffold	860001	870000	144	136	32281	54575	24	9	9785	4423	6	10	1347	4181	15	6	8492	3568	8	6	8164	3163	43	32	11715	22554	69	16	21632	8765	39	24	10572	20614	135	233	30776	59847	192	29	52756	9350	20	2	8263	3595	70	28	21325	21986
scaffold	870001	880000	48	260	32281	54575	9	6	9785	4423	2	2	1347	4181	3	3	8492	3568	9	2	8164	3163	31	73	11715	22554	8	12	21632	8765	35	33	10572	20614	51	246	30776	59847	83	53	52756	9350	4	0	8263	3595	14	12	21325	21986
scaffold	880001	890000	121	151	32281	54575	39	7	9785	4423	1	13	1347	4181	31	7	8492	3568	42	11	8164	3163	27	83	11715	22554	96	34	21632	8765	27	87	10572	20614	112	190	30776	59847	224	31	52756	9350	32	5	8263	3595	91	115	21325	21986
scaffold	890001	900000	154	161	32281	54575	42	38	9785	4423	3	35	1347	4181	20	6	8492	3568	20	10	8164	3163	41	115	11715	22554	105	58	21632	8765	42	96	10572	20614	132	215	30776	59847	241	48	52756	9350	22	32	8263	3595	118	96	21325	21986
scaffold	900001	910000	111	246	32281	54575	82	9	9785	4423	4	15	1347	4181	22	9	8492	3568	59	8	8164	3163	103	77	11715	22554	64	39	21632	8765	98	55	10572	20614	125	203	30776	59847	229	18	52756	9350	37	8	8263	3595	86	95	21325	21986
scaffold	910001	920000	108	111	32281	54575	24	11	9785	4423	1	8	1347	4181	29	4	8492	3568	10	0	8164	3163	22	58	11715	22554	72	19	21632	8765	17	67	10572	20614	96	172	30776	59847	184	14	52756	9350	16	6	8263	3595	69	105	21325	21986
scaffold	920001	930000	111	155	32281	54575	50	16	9785	4423	2	8	1347	4181	44	19	8492	3568	43	6	8164	3163	60	74	11715	22554	117	46	21632	8765	64	45	10572	20614	104	155	30776	59847	210	30	52756	9350	51	13	8263	3595	114	101	21325	21986
scaffold	930001	940000	106	259	32281	54575	51	2	9785	4423	2	5	1347	4181	22	25	8492	3568	38	1	8164	3163	37	111	11715	22554	71	18	21632	8765	29	101	10572	20614	117	249	30776	59847	198	22	52756	9350	39	2	8263	3595	68	88	21325	21986
scaffold	940001	950000	111	188	32281	54575	39	3	9785	4423	3	3	1347	4181	25	2	8492	3568	20	1	8164	3163	43	57	11715	22554	73	22	21632	8765	36	46	10572	20614	106	211	30776	59847	185	18	52756	9350	20	2	8263	3595	64	71	21325	21986
scaffold	950001	960000	168	209	32281	54575	30	7	9785	4423	6	20	1347	4181	18	10	8492	3568	10	6	8164	3163	36	57	11715	22554	25	15	21632	8765	25	40	10572	20614	131	235	30776	59847	214	51	52756	9350	23	8	8263	3595	27	42	21325	21986
scaffold	960001	970000	66	120	32281	54575	13	1	9785	4423	2	2	1347	4181	19	4	8492	3568	25	2	8164	3163	28	38	11715	22554	31	4	21632	8765	26	20	10572	20614	72	135	30776	59847	113	25	52756	9350	21	2	8263	3595	39	10	21325	21986
scaffold	970001	980000	95	285	32281	54575	24	5	9785	4423	1	7	1347	4181	10	6	8492	3568	18	3	8164	3163	49	18	11715	22554	29	17	21632	8765	37	24	10572	20614	78	256	30776	59847	128	28	52756	9350	20	2	8263	3595	53	23	21325	21986
scaffold	980001	990000	80	433	32281	54575	22	2	9785	4423	2	13	1347	4181	27	2	8492	3568	18	4	8164	3163	22	7	11715	22554	24	6	21632	8765	21	11	10572	20614	83	356	30776	59847	126	45	52756	9350	19	4	8263	3595	41	35	21325	21986
scaffold	990001	1000000	112	272	32281	54575	16	7	9785	4423	2	8	1347	4181	15	5	8492	3568	14	5	8164	3163	23	50	11715	22554	54	9	21632	8765	17	59	10572	20614	108	225	30776	59847	180	35	52756	9350	15	10	8263	3595	46	26	21325	21986
scaffold	1000001	1010000	72	374	32281	54575	24	0	9785	4423	5	12	1347	4181	14	2	8492	3568	20	4	8164	3163	22	34	11715	22554	81	24	21632	8765	24	41	10572	20614	79	405	30776	59847	152	31	52756	9350	17	3	8263	3595	66	56	21325	21986
