#scaffold	start	end	D	K	GenomeD	GenomeK
scaffold	580001	59000	149	197	32281	54575
scaffold	590001	60000	104	176	32281	54575
scaffold	600001	61000	191	123	32281	54575
scaffold	610001	62000	81	305	32281	54575
scaffold	620001	63000	66	132	32281	54575
scaffold	630001	64000	176	177	32281	54575
scaffold	640001	65000	102	213	32281	54575
scaffold	650001	66000	89	341	32281	54575
scaffold	660001	67000	54	167	32281	54575
scaffold	670001	68000	74	219	32281	54575
scaffold	680001	69000	92	181	32281	54575
scaffold	690001	70000	114	123	32281	54575
scaffold	700001	71000	149	157	32281	54575
scaffold	710001	72000	140	165	32281	54575
scaffold	720001	73000	95	231	32281	54575
scaffold	730001	74000	112	228	32281	54575
scaffold	740001	75000	137	124	32281	54575
scaffold	750001	76000	81	156	32281	54575
scaffold	760001	77000	103	97	32281	54575
scaffold	770001	78000	64	123	32281	54575
scaffold	780001	79000	75	199	32281	54575
scaffold	790001	80000	74	234	32281	54575
scaffold	800001	81000	44	424	32281	54575
scaffold	810001	82000	128	151	32281	54575
scaffold	820001	83000	135	139	32281	54575
scaffold	830001	84000	107	151	32281	54575
scaffold	840001	85000	106	143	32281	54575
scaffold	850001	86000	46	523	32281	54575
scaffold	860001	87000	144	136	32281	54575
scaffold	870001	88000	48	260	32281	54575
scaffold	880001	89000	121	151	32281	54575
scaffold	890001	90000	154	161	32281	54575
scaffold	900001	91000	111	246	32281	54575
scaffold	910001	92000	108	111	32281	54575
scaffold	920001	93000	111	155	32281	54575
scaffold	930001	94000	106	259	32281	54575
scaffold	940001	95000	111	188	32281	54575
scaffold	950001	96000	168	209	32281	54575
scaffold	960001	97000	66	120	32281	54575
scaffold	970001	98000	95	285	32281	54575
scaffold	980001	99000	80	433	32281	54575
scaffold	990001	100000	112	272	32281	54575
scaffold	1000001	101000	72	374	32281	54575
scaffold	1010001	102000	95	235	32281	54575
scaffold	1020001	103000	49	456	32281	54575
scaffold	1030001	104000	68	212	32281	54575
scaffold	1040001	105000	107	273	32281	54575
scaffold	1050001	106000	94	163	32281	54575
scaffold	1060001	107000	131	185	32281	54575
scaffold	1070001	108000	76	208	32281	54575
scaffold	1080001	109000	57	158	32281	54575
scaffold	1090001	110000	108	158	32281	54575
scaffold	1100001	111000	115	187	32281	54575
scaffold	1110001	112000	138	143	32281	54575
scaffold	1120001	113000	95	156	32281	54575
scaffold	1130001	114000	168	137	32281	54575
scaffold	1140001	115000	109	351	32281	54575
scaffold	1150001	116000	42	189	32281	54575
scaffold	1160001	117000	171	162	32281	54575
scaffold	1170001	118000	139	113	32281	54575
scaffold	1180001	119000	95	217	32281	54575
scaffold	1190001	120000	64	488	32281	54575
scaffold	1200001	121000	123	176	32281	54575
scaffold	1210001	122000	174	206	32281	54575
scaffold	1220001	123000	101	396	32281	54575
scaffold	1230001	124000	68	188	32281	54575
scaffold	1240001	125000	6	412	32281	54575
scaffold	1250001	126000	99	226	32281	54575
scaffold	1260001	127000	80	294	32281	54575
scaffold	1270001	128000	33	147	32281	54575
scaffold	1280001	129000	134	220	32281	54575
scaffold	1290001	130000	94	297	32281	54575
scaffold	1300001	131000	131	153	32281	54575
scaffold	1310001	132000	33	99	32281	54575
scaffold	1320001	133000	55	206	32281	54575
scaffold	1330001	134000	138	132	32281	54575
scaffold	1340001	135000	134	221	32281	54575
scaffold	1350001	136000	157	145	32281	54575
scaffold	1360001	137000	159	107	32281	54575
scaffold	1370001	138000	79	66	32281	54575
scaffold	1380001	139000	133	113	32281	54575
scaffold	1390001	140000	202	180	32281	54575
scaffold	1400001	141000	96	117	32281	54575
scaffold	1410001	142000	107	126	32281	54575
scaffold	1420001	143000	123	148	32281	54575
scaffold	1430001	144000	137	192	32281	54575
scaffold	1440001	145000	141	87	32281	54575
scaffold	1450001	146000	113	96	32281	54575
scaffold	1460001	147000	140	145	32281	54575
scaffold	1470001	148000	129	104	32281	54575
scaffold	1480001	149000	82	158	32281	54575
scaffold	1490001	150000	47	76	32281	54575
scaffold	1500001	151000	125	117	32281	54575
scaffold	1510001	152000	100	128	32281	54575
scaffold	1520001	153000	90	104	32281	54575
scaffold	1530001	154000	194	83	32281	54575
scaffold	1540001	155000	114	144	32281	54575
scaffold	1550001	156000	73	65	32281	54575
scaffold	1560001	157000	100	122	32281	54575
scaffold	1570001	158000	69	56	32281	54575
scaffold	1580001	159000	77	56	32281	54575
scaffold	1590001	160000	153	140	32281	54575
scaffold	1600001	161000	102	111	32281	54575
scaffold	1610001	162000	150	91	32281	54575
scaffold	1620001	163000	99	109	32281	54575
scaffold	1630001	164000	62	170	32281	54575
scaffold	1640001	165000	147	247	32281	54575
scaffold	1650001	166000	166	163	32281	54575
scaffold	1660001	167000	93	112	32281	54575
scaffold	1670001	168000	201	107	32281	54575
scaffold	1680001	169000	155	128	32281	54575
scaffold	1690001	170000	99	222	32281	54575
scaffold	1700001	171000	153	108	32281	54575
scaffold	1710001	172000	115	60	32281	54575
scaffold	1720001	173000	146	73	32281	54575
scaffold	1730001	174000	90	124	32281	54575
scaffold	1740001	175000	115	129	32281	54575
scaffold	1750001	176000	118	108	32281	54575
scaffold	1760001	177000	116	93	32281	54575
scaffold	1770001	178000	76	142	32281	54575
scaffold	1780001	179000	71	87	32281	54575
scaffold	1790001	180000	38	82	32281	54575
scaffold	1800001	181000	106	76	32281	54575
scaffold	1810001	182000	146	122	32281	54575
scaffold	1820001	183000	152	183	32281	54575
scaffold	1830001	184000	107	128	32281	54575
scaffold	1840001	185000	107	167	32281	54575
scaffold	1850001	186000	120	223	32281	54575
scaffold	1860001	187000	109	166	32281	54575
scaffold	1870001	188000	75	227	32281	54575
scaffold	1880001	189000	114	238	32281	54575
scaffold	1890001	190000	52	64	32281	54575
scaffold	1900001	191000	143	215	32281	54575
scaffold	1910001	192000	74	227	32281	54575
scaffold	1920001	193000	93	194	32281	54575
scaffold	1930001	194000	130	133	32281	54575
scaffold	1940001	195000	120	167	32281	54575
scaffold	1950001	196000	124	310	32281	54575
scaffold	1960001	197000	79	309	32281	54575
scaffold	1970001	198000	57	159	32281	54575
scaffold	1980001	199000	83	161	32281	54575
scaffold	1990001	200000	174	96	32281	54575
scaffold	2000001	201000	131	189	32281	54575
scaffold	2010001	202000	74	138	32281	54575
scaffold	2020001	203000	111	141	32281	54575
scaffold	2030001	204000	94	153	32281	54575
scaffold	2040001	205000	96	271	32281	54575
scaffold	2050001	206000	69	168	32281	54575
scaffold	2060001	207000	106	101	32281	54575
scaffold	2070001	208000	143	255	32281	54575
scaffold	2080001	209000	32	117	32281	54575
scaffold	2090001	210000	86	155	32281	54575
scaffold	2100001	211000	60	275	32281	54575
scaffold	2110001	212000	88	264	32281	54575
scaffold	2120001	213000	117	273	32281	54575
scaffold	2130001	214000	140	135	32281	54575
scaffold	2140001	215000	85	317	32281	54575
scaffold	2150001	216000	125	201	32281	54575
scaffold	2160001	217000	73	188	32281	54575
scaffold	2170001	218000	126	176	32281	54575
scaffold	2180001	219000	52	274	32281	54575
scaffold	2190001	220000	121	168	32281	54575
scaffold	2200001	221000	134	161	32281	54575
scaffold	2210001	222000	87	241	32281	54575
scaffold	2220001	223000	97	197	32281	54575
scaffold	2230001	224000	75	303	32281	54575
scaffold	2240001	225000	116	419	32281	54575
scaffold	2250001	226000	35	355	32281	54575
scaffold	2260001	227000	101	182	32281	54575
scaffold	2270001	228000	85	412	32281	54575
scaffold	2280001	229000	67	193	32281	54575
scaffold	2290001	230000	67	223	32281	54575
scaffold	2300001	231000	62	132	32281	54575
scaffold	2310001	232000	57	151	32281	54575
scaffold	2320001	233000	101	150	32281	54575
scaffold	2330001	234000	110	201	32281	54575
scaffold	2340001	235000	113	243	32281	54575
scaffold	2350001	236000	184	234	32281	54575
scaffold	2360001	237000	218	171	32281	54575
scaffold	2370001	238000	46	137	32281	54575
scaffold	2380001	239000	99	268	32281	54575
scaffold	2390001	240000	80	234	32281	54575
scaffold	2400001	241000	103	217	32281	54575
scaffold	2410001	242000	74	232	32281	54575
scaffold	2420001	243000	41	323	32281	54575
scaffold	2430001	244000	88	173	32281	54575
scaffold	2440001	245000	117	159	32281	54575
scaffold	2450001	246000	133	153	32281	54575
scaffold	2460001	247000	112	197	32281	54575
scaffold	2470001	248000	54	238	32281	54575
scaffold	2480001	249000	79	155	32281	54575
scaffold	2490001	250000	61	286	32281	54575
scaffold	2500001	251000	139	104	32281	54575
scaffold	2510001	252000	109	160	32281	54575
scaffold	2520001	253000	127	142	32281	54575
scaffold	2530001	254000	162	151	32281	54575
scaffold	2540001	255000	115	140	32281	54575
scaffold	2550001	256000	205	47	32281	54575
scaffold	2560001	257000	94	226	32281	54575
scaffold	2570001	258000	58	154	32281	54575
scaffold	2580001	259000	130	102	32281	54575
scaffold	2590001	260000	120	134	32281	54575
scaffold	2600001	261000	90	197	32281	54575
scaffold	2610001	262000	174	166	32281	54575
scaffold	2620001	263000	198	234	32281	54575
scaffold	2630001	264000	103	157	32281	54575
scaffold	2640001	265000	112	157	32281	54575
scaffold	2650001	266000	101	218	32281	54575
scaffold	2660001	267000	100	231	32281	54575
scaffold	2670001	268000	67	239	32281	54575
scaffold	2680001	269000	138	120	32281	54575
scaffold	2690001	270000	94	171	32281	54575
scaffold	2700001	271000	102	175	32281	54575
scaffold	2710001	272000	141	111	32281	54575
scaffold	2720001	273000	107	95	32281	54575
scaffold	2730001	274000	88	84	32281	54575
scaffold	2740001	275000	155	117	32281	54575
scaffold	2750001	276000	189	102	32281	54575
scaffold	2760001	277000	134	73	32281	54575
scaffold	2770001	278000	96	81	32281	54575
scaffold	2780001	279000	119	148	32281	54575
scaffold	2790001	280000	144	103	32281	54575
scaffold	2800001	281000	181	172	32281	54575
scaffold	2810001	282000	157	87	32281	54575
scaffold	2820001	283000	113	79	32281	54575
scaffold	2830001	284000	178	85	32281	54575
scaffold	2840001	285000	93	74	32281	54575
scaffold	2850001	286000	118	252	32281	54575
scaffold	2860001	287000	81	151	32281	54575
scaffold	2870001	288000	109	139	32281	54575
scaffold	2880001	289000	113	77	32281	54575
scaffold	2890001	290000	137	152	32281	54575
scaffold	2900001	291000	92	146	32281	54575
scaffold	2910001	292000	65	96	32281	54575
scaffold	2920001	293000	104	113	32281	54575
scaffold	2930001	294000	221	98	32281	54575
scaffold	2940001	295000	147	115	32281	54575
scaffold	2950001	296000	119	121	32281	54575
scaffold	2960001	297000	128	134	32281	54575
scaffold	2970001	298000	122	89	32281	54575
scaffold	2980001	299000	122	122	32281	54575
scaffold	2990001	300000	72	123	32281	54575
scaffold	3000001	301000	130	105	32281	54575
scaffold	3010001	302000	137	147	32281	54575
scaffold	3020001	303000	67	36	32281	54575
